4833,10019,내일을 향해 쏴라,Butch Cassidy And The Sundance Kid , 1969,서부|범죄|드라마,미국,조지 로이 힐|폴 뉴먼|로버트 레드포드|캐서린 로스,15세 관람가|PG,도움말,http://movie2.phinf.naver.net/20111222_62/132453083493156KNX_JPEG/movie_image.jpg?type=m77_110_2
4846,10929,따귀 일곱대,Seven Slaps On The Face , 1987,드라마|코미디,한국,1987|.02.07,남기남|심형래|백일섭|김나희,15세 관람가,http://movie2.phinf.naver.net/20111221_7/13244731490878IzEG_JPEG/movie_image.jpg?type=m77_110_2
4847,11027,바탈리언,The Return Of The Living Dead , 1985,공포|코미디|SF,미국,1989|.04.08,댄 오배넌|크루 굴레이저|제임스 카렌|돈 칼파,청소년 관람불가|R,도움말,http://movie2.phinf.naver.net/20111221_113/1324458827885znbMb_JPEG/movie_image.jpg?type=m77_110_2
4848,11090,강아지를 타고 온 건달들,Once Upon A Crime... , 1992,코미디|미스터리,미국,1992|.05.02,유진 레비|존 캔디|제임스 벨루시|숀 영,12세 관람가|PG,도움말,http://movie.phinf.naver.net/20111222_63/13244893768793mPIL_JPEG/movie_image.jpg?type=m77_110_2
4849,11153,탱고와 캐쉬,Tango & Cash , 1989,범죄|액션|코미디,미국,1990|.09.22,안드레이 콘찰로프스키|실베스터 스탤론|커트 러셀|테리 헤처,R,도움말,http://movie2.phinf.naver.net/20111222_141/1324537803880v765N_JPEG/movie_image.jpg?type=m77_110_2
4850,11216,거미 여인의 키스,Kiss Of the Spider Woman , 1985,드라마,미국|브라질,헥터 바벤코|윌리엄 허트|라울 줄리아|소냐 브라가,청소년 관람불가|R,도움말,http://movie2.phinf.naver.net/20111212_177/1323671100690DEh0p_JPEG/movie_image.jpg?type=m77_110_2
4851,11342,눈꽃,Flower In Snow , 1992,드라마,한국,1992|.05.22,박철수|윤정희|이미연,15세 관람가,http://movie2.phinf.naver.net/20111222_167/1324520702051pIJS5_JPEG/movie_image.jpg?type=m77_110_2
4852,11405,밥 로버츠,Bob Roberts , 1992,코미디,미국,1992|.11.28,팀 로빈스|팀 로빈스,청소년 관람불가|R,도움말,http://movie2.phinf.naver.net/20111216_230/1324028873051vanjc_JPEG/movie_image.jpg?type=m77_110_2
4853,11531,그로잉 업 5,Roman Za'ir , Lemon Popsicle V , 1984,코미디,독일(구 서독)|이스라엘,댄 울먼|이프타크 카저|조나단 사갈|자키 노이,NR,도움말,http://movie.phinf.naver.net/20111223_195/1324614507245Fj2Lp_JPEG/movie_image.jpg?type=m77_110_2
4854,11720,라스트 모히칸,The Last Of The Mohicans , 1992,서부|전쟁|멜로/애정/로맨스,미국,1992|.09.25,마이클 만|다니엘 데이 루이스|매들린 스토우,15세 관람가|R,도움말,http://movie2.phinf.naver.net/20111222_108/1324537900263gJbDO_JPEG/movie_image.jpg?type=m77_110_2
4855,11874,아빠 만들기,Father Hood , 1993,코미디,미국,1993|.11.13,다렐 루트|패트릭 스웨이지|할리 베리,PG-13,도움말,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4856,11937,세기의 거래,Deal Of The Century , 1983,코미디,미국,윌리엄 프리드킨|체비 체이스|시고니 위버|그레고리 하인즈,PG,도움말,http://movie.phinf.naver.net/20111222_113/1324553843636UdbHQ_JPEG/movie_image.jpg?type=m77_110_2
4857,12224,헨리의 이야기,Regarding Henry , 1991,드라마,미국,1992|.02.15,마이크 니콜스|해리슨 포드|R.M. 헤일리|스탠리 스워드로우,PG-13,도움말,http://movie.phinf.naver.net/20111222_116/1324538157517o6yOx_JPEG/movie_image.jpg?type=m77_110_2
4858,12350,와이즈 가이스,Wise Guys , 1986,코미디|범죄,미국,브라이언 드 팔마|대니 드비토|죠 피스코포|하비 케이텔,R,도움말,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4859,12378,파티 대소동,Animal Crackers , 1930,뮤지컬,미국,빅터 히어만|그루코 막스|하포 마스|치코 마스,NR,도움말,http://movie.phinf.naver.net/20111222_250/1324494082949E4S0K_JPEG/movie_image.jpg?type=m77_110_2
4860,12413,더티 파이터,Any Which Way You Can , 1980,코미디,미국,버디 밴 혼|클린트 이스트우드|선드라 록,PG,도움말,http://movie.phinf.naver.net/20111221_249/1324455436793tOT6L_JPEG/movie_image.jpg?type=m77_110_2
4861,12567,그리프터스,The Grifters , 1990,범죄|드라마,미국,1993|.07.31,스티븐 프리어스|존 쿠삭|안젤리카 휴스턴|아네트 베닝,청소년 관람불가|R,도움말,http://movie2.phinf.naver.net/20111221_129/1324449960560EKspG_JPEG/movie_image.jpg?type=m77_110_2
4862,12693,신용문객잔,新龍門客棧: Dragon Inn , 1992,액션|드라마,홍콩,1992|.09.05,이혜민|임청하|양가휘|장만옥,청소년 관람불가,http://movie.phinf.naver.net/20111222_104/13245059284754wH99_JPEG/movie_image.jpg?type=m77_110_2
4863,12756,하노버 스트리트,Hanover Street , 1979,드라마|액션|모험|멜로/애정/로맨스,영국,피터 하이암스|해리슨 포드|레슬리-앤 다운|크리스토퍼 플러머,PG,도움말,http://movie2.phinf.naver.net/20111222_19/1324486323482dOdoY_JPEG/movie_image.jpg?type=m77_110_2
4864,12819,스몰 타임 크룩스,Small Time Crooks , 2000,코미디|범죄|멜로/애정/로맨스,미국,2003|.01.24,우디 앨런|우디 앨런|토니 대로우|휴 그랜트,전체 관람가|PG,도움말,http://movie2.phinf.naver.net/20111222_69/1324520144220toLc1_JPEG/movie_image.jpg?type=m77_110_2
4865,12882,육체의 증거,Body Of Evidence , 1993,스릴러|미스터리,독일|미국,울리 에델|마돈나|윌렘 데포,청소년 관람불가|R,도움말,http://movie2.phinf.naver.net/20111222_283/1324538412132aIMSp_JPEG/movie_image.jpg?type=m77_110_2
4866,12945,피라나 2,Piranha Part Two: The Spawning , 1981,드라마|공포|멜로/애정/로맨스|SF,미국|이탈리아,제임스 캐머런|오비디오 G. 아소니티스|트리샤 오닐|스티브 마라척,R,도움말,http://movie2.phinf.naver.net/20111223_276/1324604585777tJq70_JPEG/movie_image.jpg?type=m77_110_2
4867,13043,마법사,The Wiz , 1978,모험|판타지|뮤지컬|가족,미국,시드니 루멧|다이아나 로스|마이클 잭슨,G,도움말,http://movie2.phinf.naver.net/20111222_201/1324486008844Rwm74_JPEG/movie_image.jpg?type=m77_110_2
4868,13386,야망의 함정,The Firm , 1993,스릴러|드라마,미국,1993|.09.25,시드니 폴락|톰 크루즈|진 핵크만,청소년 관람불가|R,도움말,http://movie2.phinf.naver.net/20111212_85/132367148018181HC7_JPEG/movie_image.jpg?type=m77_110_2
4869,13449,살인의 해부,Anatomy Of A Murder , 1959,드라마|미스터리,미국,오토 프레밍거|제임스 스튜어트|리 레믹,NR,도움말,http://movie2.phinf.naver.net/20111221_168/1324453529132nUaak_JPEG/movie_image.jpg?type=m77_110_2
4870,13575,장고,Django , 1966,서부|액션|드라마,이탈리아|스페인,세르지오 코르부치|프랑코 네로|호세 보달로|로레데이너 누스시악,15세 관람가,http://movie2.phinf.naver.net/20111222_136/1324483606539aPGjg_JPEG/movie_image.jpg?type=m77_110_2
4871,13638,사랑하는 여인들,Women In Love , 1969,드라마|멜로/애정/로맨스,영국,켄 러셀|앨런 베이츠|올리버 리드,R,도움말,http://movie.phinf.naver.net/20111222_202/1324548430930Fqw8A_JPEG/movie_image.jpg?type=m77_110_2
4872,13827,징기스 칸,Genghis Khan , 1992,몽골,1993|.03.13,15세 관람가,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4873,13890,초대받지 않은 손님,Guess Who's Coming To Dinner , 1967,미국,스탠리 크레이머|스펜서 트레이시|시드니 포이티어|캐서린 헵번,NR,도움말,http://movie2.phinf.naver.net/20111212_167/1323671560634YkqcJ_JPEG/movie_image.jpg?type=m77_110_2
4874,14114,붉은 유혹,Traces Of Red , 1992,미국,1993|.11.20,앤디 월크|제임스 벨루시|로레인 브라코|토니 골드윈,청소년 관람불가|R,도움말,http://movie2.phinf.naver.net/20111222_39/1324493413803wPaX8_JPEG/movie_image.jpg?type=m77_110_2
4875,14457,게이트,The Gate , 1987,미국,1988|.06.18,티보 타카스|스티븐 도프|루이스 트립|크리스타 덴톤,PG-13,도움말,http://movie.phinf.naver.net/20111222_141/13244934144218MiMY_JPEG/movie_image.jpg?type=m77_110_2
4876,14646,달콤한 거짓말,Sweet Lies , 1988,코미디|멜로/애정/로맨스,프랑스|미국,나탈리 드롱|트리트 윌리엄스|조안나 파큘라|줄리앤 필립스,R,도움말,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4877,14835,복수의 일격,The Heist , 1989,미국,스튜어트 옴|피어스 브로스넌|톰 스커릿,R,도움말,http://movie.phinf.naver.net/20111222_18/1324501097736769TE_JPEG/movie_image.jpg?type=m77_110_2
4878,15087,에메랄드 포리스트,The Emerald Forest , 1985,국가불명,존 부어만|파워스 부스|멕 포스터|찰리 부어만,R,도움말,http://movie2.phinf.naver.net/20111222_208/1324491557224NGClg_JPEG/movie_image.jpg?type=m77_110_2
4879,15122,액션 잭슨,Action Jackson , 1988,액션|코미디,미국,크레이그 R. 백슬리|칼 웨더스|크레이그 넬슨|베니티,청소년 관람불가|R,도움말,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4880,15276,스타맨,Starman , 1984,미국,존 카펜터|제프 브리지스|카렌 알렌,15세 관람가|PG-13,도움말,http://movie2.phinf.naver.net/20111221_44/1324453802339kAuju_JPEG/movie_image.jpg?type=m77_110_2
4881,15311,젊은 용사들,Red Dawn , 1984,미국,존 밀리어스|패트릭 스웨이지|C. 토머스 하우웰|리 톰슨,PG-13,도움말,http://movie2.phinf.naver.net/20111222_222/1324491437520PwUGt_JPEG/movie_image.jpg?type=m77_110_2
4882,15339,사랑과 죽음의 마검,I Paladini - Storia D'armi E D'amori , Hearts And Armour , 1983,이탈리아,지아코모 바티아토|바바라 드 로시|모리지오 니체티|타냐 로버츠,R,도움말,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4883,15465,13일의 금요일 7 - 새로운 살인,Friday The 13th Part VII: The New Blood , 1988,공포|액션,미국,존 칼 버에츨러|라 파크 링컨|케빈 스피어타스|수잔 블루,청소년 관람불가|R,도움말,http://movie.phinf.naver.net/20111221_35/1324473397995wCYcj_JPEG/movie_image.jpg?type=m77_110_2
4884,15500,고독한 투쟁,Chattahoochee , 1989,드라마,미국,믹 잭슨|게리 올드만|데니스 호퍼,R,도움말,http://movie.phinf.naver.net/20111223_104/1324607259768Ydwfc_JPEG/movie_image.jpg?type=m77_110_2
4885,15528,로즈,??的故事: Rose , 1985,드라마|멜로/애정/로맨스,중국,1988|.05.26,양범|주윤발|장만옥,NR,도움말,http://movie.phinf.naver.net/20111216_82/1324027807870weOUb_JPEG/movie_image.jpg?type=m77_110_2
4886,15654,세이 예스,Say Yes , 1986,코미디,미국,래리 유스트|피터 페라라|리사 레잉|아트 힌들|로건 램지,PG-13,도움말,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4887,15717,죽음의 덫,The Dead Pit , 1989,공포,미국,브렛 레너드|제레미 슬레이트|쉐릴 로우슨,NR,도움말,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4888,15906,인자무적,林世榮: Magnificent Butcher , 1979,홍콩,원화평|홍금보|원표,NR,도움말,http://movie.phinf.naver.net/20111223_146/1324582558465ml0Yr_JPEG/movie_image.jpg?type=m77_110_2
4889,16004,스피드 3 - 완결편,Alarm Fur Cobra 11 - Die Autobahnpolizei , 2000,독일,마이클 슈나이더|헤르만 조하|카르멘 쿠르즈,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4890,16095,고향의 챔피언,That Championship Season , 1982,드라마,미국,제이슨 밀러|브루스 던|스테이시 키치|로버트 미첨,R,도움말,http://movie2.phinf.naver.net/20111222_165/13244913132719icWF_JPEG/movie_image.jpg?type=m77_110_2
4891,16130,안네 프랭크의 일기,The Diary Of Anne Frank , 1980,드라마,미국,보리스 세걸|맥시밀리안 쉘|멜리사 길버트,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4892,16158,증발,蒸發 , Vanished , 1994,범죄|미스터리,한국,1994|.04.09,신상옥|김희라|조지 타케이,청소년 관람불가,http://movie2.phinf.naver.net/20111212_267/1323671668438FvzEb_JPEG/movie_image.jpg?type=m77_110_2
4893,16473,탈주 특급,Von Ryan's Express , 1965,스릴러|전쟁,미국,마크 로브슨|프랭크 시나트라|트레버 하워드,15세 관람가,http://movie2.phinf.naver.net/20111222_175/1324540280633IqWKD_JPEG/movie_image.jpg?type=m77_110_2
4894,16879,워쉬,The Wash , 2001,미국,닥터 드레|스눕 독,R,도움말,http://movie.phinf.naver.net/20111221_29/1324465611368ifIya_JPEG/movie_image.jpg?type=m77_110_2
4895,17012,키드,Kid , 1991,범죄|미스터리,미국,C. 토머스 하우웰|사라 트리거|브라이언 오스틴 그린,R,도움말,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4896,17166,엄마에게 애인이 생겼어요!,Mom Has A New Boyfriend , 1995,멜로/애정/로맨스|코미디|드라마,한국,1995|.05.20,김동빈|김동빈|최진실|이경영|정선경,15세 관람가,http://movie2.phinf.naver.net/20111222_63/1324509321338HUpa3_JPEG/movie_image.jpg?type=m77_110_2
4897,17201,은행나무 침대,The Gingko Bed , 1996,드라마|멜로/애정/로맨스|판타지,한국,1996|.02.17,강제규|한석규|심혜진|진희경,청소년 관람불가,http://movie2.phinf.naver.net/20111222_210/1324526720573oicmD_JPEG/movie_image.jpg?type=m77_110_2
4898,17229,아마게돈,Armageddon , 1995,애니메이션|SF,한국,1996|.01.20,이현세|최불암|이병헌,전체 관람가,http://movie2.phinf.naver.net/20111222_278/1324534029935vleCO_JPEG/movie_image.jpg?type=m77_110_2
4899,17292,프리 윌리 2,Free Willy 2: The Adventure Home , 1995,가족|모험|드라마,미국,1995|.08.19,드와이트 H. 리틀|제이슨 제임스 리처,PG,도움말,http://movie2.phinf.naver.net/20111221_165/1324465066081lXjoA_JPEG/movie_image.jpg?type=m77_110_2
4900,17481,맥스 3000,Man's Best Friend , 1993,SF|공포|스릴러,미국,1994|.08.27,존 라피아|앨리 쉬디|랜스 헨릭슨|로버트 코스탄조,청소년 관람불가|R,도움말,http://movie2.phinf.naver.net/20111222_271/1324503828453rLjmI_JPEG/movie_image.jpg?type=m77_110_2
4901,17670,이소룡 일대기 생과 사,Bruce Lee, The Legend , 1977,다큐멘터리,홍콩,1985|.04.13,하관창|이소룡|제임스 B. 니콜슨,http://movie2.phinf.naver.net/20111230_33/1325210365985nrp1M_JPEG/movie_image.jpg?type=m77_110_2
4902,17698,맨티스,M.A.N.T.I.S. , 1994,미국,1994|.08.26,칼 럼브리|로저 리스,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4903,17887,스킨스,Skins , 1994,미국,1995|.03.11,윙스 하우저|윙스 하우저|린다 블레어,청소년 관람불가,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4904,17922,마이클 콜린스,Michael Collins , 1996,드라마,미국|영국|아일랜드,1997|.01.18,닐 조던|리암 니슨|에이단 퀸|스티븐 레아,15세 관람가|R,도움말,http://movie.phinf.naver.net/20111222_88/132452349655208Cg3_JPEG/movie_image.jpg?type=m77_110_2
4905,18020,배트맨 드라큐라,Batman Dracula , 1964,미국,앤디 워홀|그레고리 뱃콕|데이빗 버든|탤리 브라운,NR,도움말,http://movie2.phinf.naver.net/20111222_214/1324548656283ePV85_JPEG/movie_image.jpg?type=m77_110_2
4906,18048,자니 스테치노,Johnny Stecchino , 1991,이탈리아,로베르토 베니니|로베르토 베니니,15세 관람가|R,도움말,http://movie2.phinf.naver.net/20111222_263/1324492329389oeYiC_JPEG/movie_image.jpg?type=m77_110_2
4907,18174,브로큰 애로우,Broken Arrow , 1996,액션|스릴러,미국,1996|.05.18,오우삼|존 트라볼타|크리스찬 슬레이터,15세 관람가|R,도움말,http://movie.phinf.naver.net/20111223_54/1324571506772PAlNa_JPEG/movie_image.jpg?type=m77_110_2
4908,18237,필사의 도주,Running Scared , 1986,액션|코미디|범죄,미국,피터 하이암스|그레고리 하인즈|빌리 크리스탈,R,도움말,http://movie.phinf.naver.net/20111222_107/1324491575177LBf3d_JPEG/movie_image.jpg?type=m77_110_2
4909,18552,페이스 오프,Face/Off , 1997,액션,미국,1997|.08.09,오우삼|존 트라볼타|니콜라스 케이지,15세 관람가|R,도움말,http://movie2.phinf.naver.net/20111221_276/1324478294709bFeIq_JPEG/movie_image.jpg?type=m77_110_2
4910,18615,큐
4911,18741,보카 보카,Boca A Boca , Mouth To Mouth , 1995,스페인,1997|.05.03,마누엘 고메즈 페레이라|하비에르 바르뎀|아이타나 산체스-기욘,청소년 관람불가|R,도움말,http://movie.phinf.naver.net/20111222_245/13244942151241uoxM_JPEG/movie_image.jpg?type=m77_110_2
4912,18769,줄 앤 짐,Jules Et Jim , Jules And Jim , 1961,드라마|멜로/애정/로맨스,프랑스,1997|.01,프랑소와 트뤼포|잔느 모로|오스카 워너|앙리 세르,15세 관람가|NR,도움말,http://movie2.phinf.naver.net/20111222_240/1324499237957OPEDT_JPEG/movie_image.jpg?type=m77_110_2
4913,18804,비련의 신부,La Mariee Etait En Noir , The Bride Wore Black , 1967,프랑스|이탈리아,프랑소와 트뤼포|잔느 모로,NR,도움말,http://movie.phinf.naver.net/20111222_65/1324531970544f3KrI_JPEG/movie_image.jpg?type=m77_110_2
4914,18895,잔인한 바다,The Cruel Sea , 1953,영국,찰스 프렌드|잭 호킨스|도널드 신든|존 스트래턴,NR,도움말,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4915,18958,이별 파티,It's My Party , 1996,미국,랜달 크레이저|마가렛 조|에릭 로버츠|올리비아 뉴턴-존,R,도움말,http://movie2.phinf.naver.net/20111221_196/13244742109330oQKm_JPEG/movie_image.jpg?type=m77_110_2
4916,19056,써니브룩 농장의 레베카,Rebecca Of Sunnybrook Farm , 1938,미국,알랜 드원|셜리 템플|랜돌프 스콧|잭 헤일리,NR,도움말,http://movie.phinf.naver.net/20111223_19/13245732198597ybxA_JPEG/movie_image.jpg?type=m77_110_2
4917,19119,모스트 원티드,Most Wanted , 1997,미국,1998|.06.20,데이빗 호건|키넌 아이버리 웨이언스|존 보이트,15세 관람가|R,도움말,http://movie.phinf.naver.net/20111221_66/1324469485118DzPkp_JPEG/movie_image.jpg?type=m77_110_2
4918,19182,빅 폴,The Big Fall , 1996,미국,C. 토머스 하우웰|C. 토머스 하우웰,R,도움말,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4919,19308,퇴마록,退魔錄 , The Soul Guardians , 1998,공포|스릴러|판타지,한국,1998|.08.15,박광춘|안성기|신현준|추상미,청소년 관람불가,http://movie2.phinf.naver.net/20111222_118/1324563189718ubFgR_JPEG/movie_image.jpg?type=m77_110_2
4920,19399,제프리,Jeffrey , 1995,코미디|드라마,미국,크리스토퍼 애슐리|시고니 위버|스티븐 웨버|마이클 T. 웨이스,청소년 관람불가|R,도움말,http://movie2.phinf.naver.net/20111222_266/1324493033332OOnc7_JPEG/movie_image.jpg?type=m77_110_2
4921,19560,사랑의 금고털이,The Ref , Hostile Hostages , 1994,코미디,미국,테드 데미|데니스 리어리|주디 데이비스|케빈 스페이시,청소년 관람불가|R,도움말,http://movie2.phinf.naver.net/20111221_67/1324463809449fTFEH_JPEG/movie_image.jpg?type=m77_110_2
4922,19588,미스터 존슨,Mister Johnson , 1991,드라마,미국,브루스 베레스포드|피어스 브로스넌|에드워드 우드워드,PG-13,도움말,http://movie2.phinf.naver.net/20111221_157/1324456824712VtgUf_JPEG/movie_image.jpg?type=m77_110_2
4923,19812,과부,Widow , 1978,한국,1979|.04.10|1978|.11.18,조문진|고은아|김희라|황정순,청소년 관람불가,http://movie.phinf.naver.net/20111222_154/1324548270927beUjk_JPEG/movie_image.jpg?type=m77_110_2
4924,20485,대표객,The Great Swordsman , 1971,한국,1971|.10.16,황풍|김기범|짱위,15세 관람가,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4925,20548,전영소녀,電影少女: Video Girl Ai , 1992,애니메이션,일본,니시쿠보 미즈호|아마노 유리|하야시바라 메구미|쿠사오 타케시,http://movie.phinf.naver.net/20111221_256/1324459117178xTYCM_JPEG/movie_image.jpg?type=m77_110_2
4926,21024,백백교,1992,드라마,한국,1993|.01.09,최영철|이대근|김형자,청소년 관람불가,http://movie.phinf.naver.net/20111221_79/1324449804988UFYQi_JPEG/movie_image.jpg?type=m77_110_2
4927,21150,북치는 여자,북치는 여자 , 1987,한국,1987|.07.23,장성환|김혜선|선동혁|김희라,12세 관람가,http://movie2.phinf.naver.net/20111216_2/1324029241543tMEOJ_JPEG/movie_image.jpg?type=m77_110_2
4928,21178,불의 태양,1994,드라마,한국,1994|.10.29,강문수|김원준|문희라|강문수,15세 관람가,http://movie2.phinf.naver.net/20111222_243/13245282780498pvaR_JPEG/movie_image.jpg?type=m77_110_2
4929,21367,호프만의 이야기,The Tales Of Hoffmann , 1951,모험|판타지|뮤지컬|멜로/애정/로맨스,영국,마이클 포웰|에머릭 프레스버거|모이라 쉬러|루드밀라 케리나,http://movie2.phinf.naver.net/20111222_168/13244901657135mwg2_JPEG/movie_image.jpg?type=m77_110_2
4930,21556,선배,1979,한국,1979|.03.15,이두용|장동휘|안태섭|정혜영,청소년 관람불가,http://movie.phinf.naver.net/20111229_212/1325142415808R9jJT_JPEG/movie_image.jpg?type=m77_110_2
4931,21745,식모 삼형제,1969,한국,1969|,김화랑|고은아|남정임|문희,NR,도움말,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4932,22627,의형제,의형제 , 1965,한국,1965|,김기풍|신성일|최무룡|최지희,NR,도움말,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4933,22690,이주일의 리빠똥 사장,이주일의 리빠똥 사장 , 1980,한국,1980|.10.18,김인수|이주일|장은숙|이영,청소년 관람불가,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4934,22753,잃어버린 욕망,Lost Desires , 1993,한국,1994|.03.26,마주행|마주행|소비아|장윤정,청소년 관람불가,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4935,22816,잠바 Q,잠바 Q , 1969,한국,1969|,고영남|황승진|고은아|남정임,NR,도움말,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4936,23635,혈우천하,혈우천하 , 1982,한국,1982|.04.24,최현민|장일도|이정희|이강조,12세 관람가,http://movie2.phinf.naver.net/20111221_164/1324448121744fHoPV_JPEG/movie_image.jpg?type=m77_110_2
4937,23978,해적,The Pirate Movie , 1982,오스트레일리아,켄 아나킨|크리스티 맥니콜|크리스토퍼 앳킨스,PG,도움말,http://movie.phinf.naver.net/20111222_37/1324485851410f5qUd_JPEG/movie_image.jpg?type=m77_110_2
4938,24265,비성,Cry, The Beloved Country , 1995,남아프리카 공화국|미국,다렐 루트|제임스 얼 존스|리처드 해리스,전체 관람가|PG-13,도움말,http://movie.phinf.naver.net/20111222_88/1324500173876BvP2Q_JPEG/movie_image.jpg?type=m77_110_2
4939,24300,제로 이펙트,Zero Effect , 1998,코미디|스릴러|미스터리,미국,제이크 캐스단|빌 풀만|벤 스틸러,15세 관람가|R,도움말,http://movie2.phinf.naver.net/20111221_33/1324470826438Xmwzh_JPEG/movie_image.jpg?type=m77_110_2
4940,24391,클리어 타겟,Clear Target , 1997,미국,마크 로퍼|케빈 스카넬|티아 카레레|맥키 앤더슨,15세 관람가,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
4941,24454,이마 베프,Irma Vep , 1996,코미디|드라마,프랑스,올리비에 아사야스|장만옥|장 피에르 레오,15세 관람가,http://movie.phinf.naver.net/20111222_210/1324532134170llv2e_JPEG/movie_image.jpg?type=m77_110_2
4942,24986,링,The Ring Virus , 1999,공포,한국,1999|.06.12,김동빈|신은경|정진영|김창완,청소년 관람불가,http://movie2.phinf.naver.net/20111221_76/1324454269161WnTTQ_JPEG/movie_image.jpg?type=m77_110_2
4943,25273,타임마스터,Timemaster , 1995,미국,제임스 길켄호스|제스 캐머런-글리켄호스|팻 모리타|조안나 파큘라,PG-13,도움말,http://static.naver.net/movie/2012/06/dft_img77x110_1.png
